y,metric,model,layer,layer_idx,horizon,aggregation,fold,rsquared,rsquared_adj,aic,bic,delta_rsquared,delta_rsquared_adj,delta_rsquared_aic,delta_rsquared_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,7,7,4,mean,full,0.24367737967839864,0.2436564824588,2847294.7263542823,2847389.9110726533,0.00569527414914317,0.005692799623606137,-2170.1987296584994,-2159.6226498396136,316138551.81818205,2380592.188227892,0.0
meanItemRT,Information value,gpt2_small,7,7,5,mean,full,0.24410620706960384,0.24408532169852049,2847130.5083964095,2847225.6931147804,0.00612410154034837,0.006121638863326617,-2334.4166875313967,-2323.840607712511,315959304.40868646,2559839.597723484,0.0
meanItemRT,Information value,gpt2_small,7,7,6,mean,full,0.24464853553089105,0.24462766514436152,2846922.6921341196,2847017.8768524905,0.0066664300016355815,0.006663982309167649,-2542.2329498212785,-2531.6568700023927,315732614.1977177,2786529.808692217,0.0
meanItemRT,Information value,gpt2_small,7,7,7,mean,full,0.24522596768574711,0.24520511325368755,2846701.2603239836,2846796.4450423545,0.007243862156491643,0.007241430418493677,-2763.6647599572316,-2753.088680138346,315491250.8425773,3027893.1638326645,0.0
meanItemRT,Information value,gpt2_small,7,7,8,mean,full,0.24577893779188675,0.24575809863840992,2846489.050292285,2846584.235010656,0.007796832262631281,0.007794415803216048,-2975.8747916556895,-2965.2987118368037,315260112.4846112,3259031.52179873,0.0
meanItemRT,Information value,gpt2_small,7,7,9,mean,full,0.2463270112126814,0.24630618720249176,2846278.5658516693,2846373.75057004,0.00834490568342594,0.008342504367297887,-3186.359232271556,-3175.78315245267,315031020.9132572,3488123.0931527615,0.0
meanItemRT,Information value,gpt2_small,7,7,10,mean,full,0.24684703487831672,0.24682622523639852,2846078.712195119,2846173.89691349,0.008864929349061246,0.008862542401204654,-3386.2128888219595,-3375.6368090030737,314813653.9799566,3705490.026453316,0.0
meanItemRT,Information value,gpt2_small,8,8,1,mean,full,0.24203704923176161,0.24201610668977724,2847922.0270897904,2848017.2118081613,0.004054943702506142,0.004052423854583376,-1542.8979941504076,-1532.3219143315218,316824200.61139494,1694943.3950150013,0.0
meanItemRT,Information value,gpt2_small,8,8,2,mean,full,0.24318673534053692,0.2431658245644186,2847482.5027248603,2847577.687443231,0.005204629811281447,0.00520214172922473,-1982.4223590805195,-1971.8462792616338,316343638.3596416,2175505.6467683315,0.0
meanItemRT,Information value,gpt2_small,8,8,3,mean,full,0.24347343567843405,0.24345253282385582,2847372.793331739,2847467.97805011,0.005491330149178575,0.005488849988661948,-2092.1317522018217,-2081.555672382936,316223799.24972576,2295344.756684184,0.0
meanItemRT,Information value,gpt2_small,8,8,4,mean,full,0.24385645081297547,0.24383555854111838,2847226.163011547,2847321.347729918,0.005874345283719995,0.005871875705924512,-2238.7620723936707,-2228.185992574785,316063701.1028438,2455442.903566122,0.0
meanItemRT,Information value,gpt2_small,8,8,5,mean,full,0.244317199464407,0.24429631992305068,2847049.6753938263,2847144.860112197,0.006335093935151526,0.006332637087856807,-2415.2496901145205,-2404.6736102956347,315871110.7882056,2648033.2182043195,0.0
