y,metric,model,aggregation,dist_metric,fold,loglik,delta_loglik,rsquared,delta_rsquared,rsquared_adj,delta_rsquared_adj,aic,bic,anova_p_vs_baseline,anova_p_ias_vs_surprisal,anova_p_surprisal_vs_ias,anova_p_both_vs_ias,anova_p_both_vs_surprisal
cloze_p_smoothed,IAS (min),gpt2_xl,Smin,cosine_std,full,0.42878090896648485,0.18875167492155479,0.4493559625923015,0.25254646173875783,0.39300713709384627,0.19950068147325584,-983.1856250897335,-258.41550019454985,7.139280908915942e-49,0.9999999999999999,,,
cloze_p_smoothed,Surprisal + IAS (min),gpt2_xl,Smin,cosine_std,full,0.5208292493241515,0.2808000152792215,0.5419437974590182,0.34513429660547457,0.49468950548001633,0.3011830498594259,-1251.0713590184123,-521.0109412407819,6.4428628565386066e-93,,,4.340846705185586e-55,3.527935253871621e-13
cloze_s,Baseline,,,,full,-1.667350565707057,,0.31557706518527184,,0.312762440367665,,4902.6718586530915,4939.703908830218,,,,,
cloze_s,Surprisal,gpt2_small,,,full,-1.446296846042317,0.2210537196647402,0.5601346695254164,0.2445576043401445,0.5580228332337003,0.2452603928660353,4256.542352596073,4298.864695655646,3.7274377921568624e-142,,,,
cloze_s,IAS (mean),gpt2_small,Smean,cosine_std,full,-1.3541938665180049,0.3131566991890522,0.6341356435512787,0.3185585783660069,0.5966957997009957,0.28393335933333075,4244.496416630791,4969.266541525974,7.958168401878656e-110,1.92279954824112e-10,,,
cloze_s,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,full,-1.2811716956006869,0.3861788701063702,0.6838495170573922,0.3682724518721203,0.6512345952478008,0.3384721548801358,4032.395411501214,4762.455829278844,2.0446070862840147e-147,,,4.53520552256254e-44,2.90614329778164e-38
cloze_s,IAS (min),gpt2_small,Smin,cosine_std,full,-1.4545219616781173,0.21282860402893977,0.5528389394110298,0.23726187422575795,0.5070797940083962,0.19431735364073122,4538.65839164024,5263.428516535423,4.509863892966934e-60,1.0,,,
cloze_s,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,full,-1.349767588709617,0.3175829769974401,0.6373601843432832,0.3217831191580114,0.5999492997461671,0.2871868593785021,4233.518570096597,4963.578987874227,1.2740799203503896e-111,,,1.924241316492146e-62,1.1528947616972414e-11
cloze_s,Surprisal,gpt2_medium,,,full,-1.4193235896637353,0.2480269760433218,0.5832351723659615,0.2676581071806896,0.581234243838226,0.268471803470561,4177.456764894072,4219.779107953645,2.9674249977590625e-159,,,,
cloze_s,IAS (mean),gpt2_medium,Smean,cosine_std,full,-1.3049893121210876,0.3623612535859695,0.66842516023752,0.3528480950522481,0.6344942511271383,0.3217318107594733,4100.228663139029,4824.998788034212,2.1523219941699473e-135,5.634916166041735e-18,,,
cloze_s,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,full,-1.2406771377962162,0.42667342791084084,0.7084448457001169,0.39286778051484506,0.6783672431857464,0.3656048028180814,3913.665368018506,4643.725785796136,5.772117975562905e-169,,,5.0753381904701806e-39,3.062166661019882e-44
cloze_s,IAS (min),gpt2_medium,Smin,cosine_std,full,-1.4313495492107076,0.23600101649634952,0.5730896579943261,0.25751259280905425,0.5294028208891555,0.21664038052149048,4470.716878285794,5195.487003180978,3.5055761125912853e-71,1.0,,,
