y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p,ias_coef
meanItemRT,Information value,gpt2_small,7,7,8,mean,cosine_std,full,-4.929647006512064,0.22390598464283218,0.2238872216417115,2854764.722177123,2854849.330815675,0.008678548129957164,0.013588324314799283,0.013585925412973432,-5023.729864961933,-5013.153785143048,324402882.44379705,5679842.246011078,0.0,152.81256186243502
meanItemRT,Information value,gpt2_small,7,7,9,mean,cosine_std,full,-4.929656684703933,0.22389096212379977,0.22387219875949171,2854770.3267986784,2854854.9354372304,0.008668869938087909,0.013573301795766879,0.013570902530753659,-5018.125243406743,-5007.549163587857,324409161.77127445,5673562.918533683,0.0,159.3433990900662
meanItemRT,Information value,gpt2_small,7,7,10,mean,cosine_std,full,-4.929698359107856,0.22382627166485347,0.22380750673657612,2854794.460362641,2854879.069001193,0.008627195534165466,0.013508611336820575,0.013506210507838068,-4993.991679443978,-4983.415599625092,324436202.01502526,5646522.674782872,0.0,165.03874114100495
meanItemRT,Information value,gpt2_small,8,8,1,mean,cosine_std,full,-4.930210082797128,0.22303149205915695,0.22301270791613204,2855090.7985276515,2855175.4071662035,0.00811547184489303,0.012713831731124059,0.01271141168739398,-4697.653514433652,-4687.077434614766,324768415.36790985,5314309.321898282,0.0,144.89499876469992
meanItemRT,Information value,gpt2_small,8,8,2,mean,cosine_std,full,-4.9121201352178705,0.25063968889098365,0.2506215722091397,2844614.9460643986,2844699.5547029506,0.026205419424150556,0.04032202856295075,0.040320275980401665,-15173.505977686495,-15162.929897867609,313228346.1828659,16854378.506942213,0.0,254.850774286188
meanItemRT,Information value,gpt2_small,8,8,3,mean,cosine_std,full,-4.922765902875314,0.23451359187980114,0.2344950853302733,2850779.8888232885,2850864.4974618405,0.015559651766706928,0.024195931551768246,0.024193789101535246,-9008.563218796626,-8997.98713897774,319968962.9760367,10113761.713771403,0.0,183.973752407529
meanItemRT,Information value,gpt2_small,8,8,4,mean,cosine_std,full,-4.927577649379506,0.22711137833556272,0.2270926928286685,2853566.361600373,2853650.970238925,0.010747905262515012,0.016793718007529823,0.016791396599930453,-6222.090441712178,-6211.5143618932925,323063046.1189281,7019678.570880055,0.0,148.67862171834804
meanItemRT,Information value,gpt2_small,8,8,5,mean,cosine_std,full,-4.929195415738174,0.2246066219879146,0.22458787592553975,2854503.206863145,2854587.815501697,0.009130138903847396,0.014288961659881694,0.014286579696801693,-5285.24517894024,-5274.6690991213545,324110020.02017957,5972704.669628561,0.0,139.01088928405008
meanItemRT,Information value,gpt2_small,8,8,6,mean,cosine_std,full,-4.9298333529377665,0.2236166860448615,0.2235979160496011,2854872.6350195548,2854957.243658107,0.008492201704254576,0.013299025716828616,0.013296619820863054,-4915.817022530362,-4905.240942711476,324523807.61163956,5558917.078168571,0.0,138.41450008586273
meanItemRT,Information value,gpt2_small,8,8,7,mean,cosine_std,full,-4.930221831881046,0.22301323450835853,0.22299444992393547,2855097.6023986503,2855182.2110372023,0.008103722760974819,0.01269557418032563,0.012693153695197412,-4690.8496434348635,-4680.273563615978,324776046.9202581,5306677.769550025,0.0,140.66910035987127
